Time_sec,Y_S,phase
7622.96,0.00435899,
7623.2,0.00435783,
7623.46,0.00435718,
7623.74,0.00435787,
7624.02,0.0043584,
7624.29,0.00435738,
7624.56,0.00435723,
7624.81,0.00435762,
7625.06,0.00435793,
7625.33,0.00435701,
7625.58,0.00435784,
7625.85,0.00435773,
7626.12,0.00435842,
7626.4,0.00435851,
7626.67,0.00435857,
7626.94,0.00435831,
7627.22,0.00435853,
7627.49,0.00435919,
7627.77,0.004359,
7628.03,0.00435884,
7628.3,0.00435831,
7628.56,0.0043589,
7628.83,0.00435782,
7629.1,0.00435854,
7629.37,0.0043575,
7629.63,0.00435863,
7629.9,0.00435771,
7630.17,0.00435838,
7630.43,0.00435808,
7630.72,0.00435714,
7631,0.00435699,
7631.26,0.00435739,
7631.54,0.00435811,
7631.81,0.00435801,
7632.08,0.00435796,
7632.36,0.00435864,
7632.63,0.00435847,
7632.9,0.00435801,
7633.15,0.00435926,
7633.41,0.00435927,
7633.66,0.00435869,
7633.93,0.00436016,
7634.19,0.00435983,
7634.48,0.00435982,
7634.74,0.00435983,
7635,0.00436055,
7635.26,0.0043597,
7635.52,0.00436133,
7635.8,0.0043601,
7636.05,0.00436096,
7636.33,0.00435995,
7636.6,0.00436011,
7636.86,0.00436045,
7637.13,0.00436101,
7637.4,0.00436145,
7637.67,0.00436104,
7637.94,0.0043609,
7638.2,0.00436161,
7638.46,0.00436133,
7638.74,0.00436084,
7639.01,0.00436079,
7639.27,0.00436132,
7639.54,0.0043618,
7639.8,0.00436158,
7640.07,0.00436165,
7640.35,0.00436245,
7640.62,0.00436178,
7640.88,0.00436224,
7641.15,0.00436192,
7641.43,0.00436165,
7641.7,0.00436211,
7641.96,0.00436227,
7642.23,0.00436267,
7642.5,0.00436223,
7642.77,0.00436287,
7643.03,0.00436323,
7643.3,0.00436362,
7643.56,0.00436325,
7643.83,0.00436387,
7644.11,0.00436304,
7644.37,0.00436382,
7644.63,0.00436332,
7644.9,0.00436247,
7645.18,0.00436176,
7645.45,0.00436113,
7645.73,0.00436038,
7646,0.00435935,
7646.26,0.00435859,
7646.53,0.00435784,
7646.8,0.00435707,
7647.08,0.00435668,
7647.35,0.00435625,
7647.61,0.00435631,
7647.88,0.00435699,
7648.15,0.00435652,
7648.42,0.00435692,
7648.68,0.0043564,
7648.95,0.00435663,
7649.23,0.00435704,
7649.5,0.00435624,
7649.76,0.0043569,
7650.03,0.00435589,
7650.31,0.00435609,
7650.59,0.00435634,
7650.85,0.00435692,
7651.12,0.00435709,
7651.38,0.00435726,
7651.64,0.00435725,
7651.88,0.00435758,
7652.13,0.00435755,
7652.41,0.00435778,
7652.68,0.00435785,
7652.95,0.00435847,
7653.22,0.00435874,
7653.48,0.00435899,
7653.75,0.00435905,
7654.01,0.00435867,
7654.28,0.00435839,
7654.53,0.00435789,
7654.8,0.00435687,
7655.05,0.00435739,
7655.33,0.00435707,
7655.59,0.00435663,
7655.86,0.00435659,
7656.13,0.0043557,
7656.4,0.00435584,
7656.67,0.00435597,
7656.94,0.00435522,
7657.22,0.00435636,
7657.48,0.00435625,
7657.75,0.00435722,
7658.02,0.00435714,
7658.3,0.00435613,
7658.57,0.00435719,
7658.83,0.00435614,
7659.1,0.00435673,
7659.38,0.00435708,
7659.65,0.00435691,
7659.91,0.00435717,
7660.18,0.0043572,
7660.46,0.00435782,
7660.72,0.0043574,
7660.99,0.00435725,
7661.25,0.00435731,
7661.53,0.00435688,
7661.8,0.00435674,
7662.06,0.00435638,
7662.32,0.00435647,
7662.59,0.00435677,
7662.85,0.00435584,
7663.12,0.00435558,
7663.38,0.00435485,
7663.66,0.00435403,
7663.93,0.00435369,
7664.19,0.00435404,
7664.45,0.00435373,
7664.71,0.00435493,
7664.98,0.0043532,
7665.24,0.00435474,
7665.52,0.00435374,
7665.78,0.00435462,
7666.05,0.00435383,
7666.31,0.00435376,
7666.6,0.00435466,
7666.87,0.00435421,
7667.15,0.00435382,
7667.42,0.00435464,
7667.68,0.00435429,
7667.95,0.00435495,
7668.21,0.00435468,
7668.48,0.00435413,
7668.74,0.00435397,
7669,0.00435477,
7669.27,0.00435525,
7669.53,0.00435524,
7669.8,0.00435431,
7670.08,0.00435396,
7670.35,0.00435408,
7670.61,0.00435388,
7670.88,0.00435399,
7671.15,0.00435415,
7671.41,0.00435421,
7671.68,0.00435365,
7671.95,0.00435385,
7672.22,0.00435322,
7672.48,0.00435338,
7672.75,0.00435319,
7673.01,0.00435311,
7673.28,0.00435355,
7673.53,0.00435326,
7673.8,0.00435357,
7674.07,0.00435334,
7674.34,0.00435339,
7674.61,0.00435329,
7674.9,0.0043533,
7675.16,0.00435273,
7675.43,0.00435263,
7675.71,0.00435274,
7675.98,0.00435226,
7676.26,0.00435159,
7676.53,0.00435153,
7676.8,0.00435166,
7677.06,0.00435196,
7677.33,0.00435116,
7677.6,0.00435097,
7677.86,0.00435022,
7678.13,0.00435031,
7678.41,0.00435106,
7678.69,0.00434988,
7678.97,0.00435029,
7679.24,0.00434999,
7679.5,0.00435035,
7679.78,0.00435156,
7680.05,0.00435054,
7680.31,0.00435157,
7680.58,0.00435134,
7680.85,0.00435123,
7681.12,0.00435128,
7681.38,0.0043514,
7681.65,0.00435143,
7681.93,0.00435156,
7682.21,0.00435138,
7682.47,0.00435186,
7682.73,0.00435156,
7683,0.00435176,
7683.26,0.00435228,
7683.54,0.00435304,
7683.81,0.00435172,
7684.08,0.004352,
7684.36,0.00435169,
7684.63,0.00435085,
7684.9,0.00435239,
7685.18,0.00435335,
7685.43,0.00435829,
7685.7,0.00436771,
7685.96,0.00436884,
7686.22,0.00436947,
7686.48,0.00436867,
7686.74,0.00436863,
7687,0.00436877,
7687.27,0.00437006,
7687.53,0.00436917,
7687.79,0.00436852,
7688.05,0.00436786,
7688.32,0.00436872,
7688.6,0.00436708,
7688.86,0.00436672,
7689.13,0.00436535,
7689.41,0.00436557,
7689.68,0.00436603,
7689.93,0.00436717,
7690.2,0.00436669,
7690.46,0.00436828,
7690.72,0.00436804,
7691,0.00436859,
7691.29,0.00436824,
7691.56,0.00436843,
7691.83,0.00436824,
7692.1,0.00436865,
7692.36,0.00436851,
7692.63,0.00436936,
7692.89,0.00436902,
7693.17,0.00437022,
7693.43,0.00437005,
7693.68,0.00437019,
7693.95,0.0043697,
7694.22,0.00436948,
7694.49,0.00436881,
7694.77,0.0043688,
7695.03,0.00436837,
7695.29,0.0043683,
7695.55,0.0043682,
7695.82,0.00436786,
7696.09,0.00436833,
7696.37,0.00436776,
7696.63,0.00436757,
7696.9,0.00436794,
7697.16,0.00436819,
7697.42,0.00436777,
7697.69,0.00436806,
7697.97,0.00436778,
7698.23,0.00436876,
7698.5,0.00436785,
7698.76,0.00436834,
7699.04,0.00436814,
7699.31,0.0043685,
7699.57,0.00436846,
7699.84,0.00436781,
7700.11,0.00436849,
7700.38,0.00436862,
7700.66,0.00436755,
7700.93,0.00436871,
7701.2,0.00436723,
7701.46,0.0043679,
7701.73,0.00436645,
7702,0.00436738,
7702.26,0.00436631,
7702.53,0.00436659,
7702.8,0.00436669,
7703.07,0.00436663,
7703.35,0.00436709,
7703.62,0.00436762,
7703.89,0.00436643,
7704.16,0.00436815,
7704.43,0.0043681,
7704.71,0.00436764,
7704.98,0.00436929,
7705.25,0.0043688,
7705.52,0.0043692,
7705.79,0.00436944,
7706.07,0.00436962,
7706.33,0.00436992,
7706.59,0.00437059,
7706.85,0.00437055,
7707.11,0.0043708,
7707.38,0.00437056,
7707.64,0.00437071,
7707.91,0.00437116,
7708.19,0.00437119,
7708.46,0.00437193,
7708.72,0.00437173,
7708.99,0.00437191,
7709.28,0.00437258,
7709.54,0.00437233,
7709.81,0.00437275,
7710.07,0.00437231,
7710.33,0.00437286,
7710.61,0.00437243,
7710.87,0.00437268,
7711.14,0.0043737,
7711.41,0.0043737,
7711.7,0.00437331,
7711.96,0.00437428,
7712.23,0.004374,
7712.51,0.00437433,
7712.77,0.00437451,
7713.03,0.00437475,
7713.32,0.00437444,
7713.58,0.00437403,
7713.85,0.00437363,
7714.11,0.00437408,
7714.38,0.00437396,
7714.65,0.00437369,
7714.9,0.00437416,
7715.16,0.00437478,
7715.43,0.0043746,
7715.69,0.00437496,
7715.96,0.00437467,
7716.23,0.00437468,
7716.5,0.00437521,
7716.78,0.00437465,
7717.03,0.00437441,
7717.3,0.00437477,
7717.57,0.00437447,
7717.83,0.0043751,
7718.1,0.00437414,
7718.36,0.00437457,
7718.63,0.00437434,
7718.9,0.00437523,
7719.15,0.00437445,
7719.41,0.00437444,
7719.68,0.00437458,
7719.95,0.00437446,
7720.21,0.00437455,
7720.48,0.00437532,
7720.75,0.00437442,
7721.01,0.00437501,
7721.28,0.00437451,
7721.53,0.00437475,
7721.8,0.00437448,
7722.07,0.00437519,
7722.34,0.00437426,
7722.61,0.00437445,
7722.9,0.00437487,
7723.16,0.00437507,
7723.41,0.00437469,
7723.68,0.00437457,
7723.96,0.00437533,
7724.23,0.00437533,
7724.5,0.0043746,
7724.78,0.00437519,
7725.06,0.00437519,
7725.33,0.00437588,
7725.58,0.00437549,
7725.86,0.00437504,
7726.13,0.00437538,
7726.4,0.00437515,
7726.66,0.00437548,
7726.91,0.0043759,
7727.19,0.00437616,
7727.46,0.00437712,
7727.72,0.00437594,
7727.98,0.00437738,
7728.25,0.00437652,
7728.52,0.00437746,
7728.78,0.0043773,
7729.06,0.00437729,
7729.33,0.00437751,
7729.59,0.00437769,
7729.85,0.00437751,
7730.11,0.00437681,
